S,Pgauge
0.000000E+00,1.125006E-01
4.106330E-02,1.135841E-01
8.228203E-02,1.147021E-01
1.238232E-01,1.147055E-01
1.662113E-01,1.145811E-01
2.096248E-01,1.143471E-01
2.540725E-01,1.140348E-01
2.996619E-01,1.136665E-01
3.462062E-01,1.132311E-01
3.936314E-01,1.126992E-01
4.414688E-01,1.120807E-01
4.897397E-01,1.114013E-01
5.383058E-01,1.106678E-01
5.870743E-01,1.099115E-01
6.360566E-01,1.091317E-01
6.852467E-01,1.082967E-01
7.346055E-01,1.073867E-01
7.840552E-01,1.064315E-01
8.334238E-01,1.054200E-01
8.829415E-01,1.043077E-01
9.323915E-01,1.031218E-01
9.818542E-01,1.018720E-01
1.031311E+00,1.005573E-01
1.080788E+00,9.919396E-02
1.130254E+00,9.774721E-02
1.179759E+00,9.618376E-02
1.229260E+00,9.452055E-02
1.278775E+00,9.277310E-02
1.328280E+00,9.094606E-02
1.377733E+00,8.903418E-02
1.427221E+00,8.705583E-02
1.476717E+00,8.502418E-02
1.526200E+00,8.291652E-02
1.575699E+00,8.072877E-02
1.625149E+00,7.848455E-02
1.674509E+00,7.619664E-02
1.723747E+00,7.386234E-02
1.772961E+00,7.147926E-02
1.822194E+00,6.904998E-02
1.871333E+00,6.656756E-02
1.920462E+00,6.401989E-02
1.969499E+00,6.139678E-02
2.018484E+00,5.869485E-02
2.067414E+00,5.591671E-02
2.116343E+00,5.306431E-02
2.165258E+00,5.013800E-02
2.214185E+00,4.714164E-02
2.263116E+00,4.408095E-02
2.312025E+00,4.096464E-02
2.361151E+00,3.779916E-02
2.410282E+00,3.458606E-02
2.459514E+00,3.132106E-02
2.508741E+00,2.800316E-02
2.557989E+00,2.463621E-02
2.607289E+00,2.122419E-02
2.656628E+00,1.777205E-02
2.706002E+00,1.427595E-02
2.755496E+00,1.073547E-02
2.804877E+00,7.152664E-03
2.854331E+00,3.527760E-03
2.903828E+00,-1.339696E-04
2.953305E+00,-3.830205E-03
3.002787E+00,-7.558483E-03
3.052252E+00,-1.131014E-02
3.101799E+00,-1.507340E-02
3.151261E+00,-1.884715E-02
3.200760E+00,-2.263612E-02
3.250258E+00,-2.644193E-02
3.299771E+00,-3.026152E-02
3.349279E+00,-3.408846E-02
3.398734E+00,-3.792020E-02
3.448224E+00,-4.175583E-02
3.497716E+00,-4.558982E-02
3.547186E+00,-4.941403E-02
3.596688E+00,-5.322692E-02
3.646140E+00,-5.703445E-02
3.695630E+00,-6.083997E-02
3.745129E+00,-6.464355E-02
3.794615E+00,-6.844224E-02
3.844149E+00,-7.222928E-02
3.893633E+00,-7.599791E-02
3.943098E+00,-7.974821E-02
3.992557E+00,-8.348793E-02
4.042018E+00,-8.721800E-02
4.091451E+00,-9.093538E-02
4.140935E+00,-9.464006E-02
4.190412E+00,-9.833181E-02
4.239902E+00,-1.020062E-01
4.289349E+00,-1.056555E-01
4.338887E+00,-1.092752E-01
4.388364E+00,-1.128628E-01
4.437830E+00,-1.164196E-01
4.487355E+00,-1.199506E-01
4.536885E+00,-1.234579E-01
4.586370E+00,-1.269392E-01
4.635832E+00,-1.303901E-01
4.685284E+00,-1.338096E-01
4.734801E+00,-1.372012E-01
4.784333E+00,-1.405675E-01
4.833830E+00,-1.439049E-01
4.883326E+00,-1.472068E-01
4.932782E+00,-1.504697E-01
4.982289E+00,-1.536942E-01
5.031780E+00,-1.568851E-01
5.081298E+00,-1.600467E-01
5.130764E+00,-1.631749E-01
5.180218E+00,-1.662674E-01
5.229736E+00,-1.693291E-01
5.279269E+00,-1.723609E-01
5.328766E+00,-1.753587E-01
5.378261E+00,-1.783182E-01
5.427719E+00,-1.812326E-01
5.477228E+00,-1.840989E-01
5.526725E+00,-1.869175E-01
5.576251E+00,-1.896855E-01
5.625748E+00,-1.924081E-01
5.675203E+00,-1.950952E-01
5.724711E+00,-1.977462E-01
5.774209E+00,-2.003567E-01
5.823740E+00,-2.029253E-01
5.873258E+00,-2.054473E-01
5.922752E+00,-2.079253E-01
5.972224E+00,-2.103665E-01
6.021699E+00,-2.127684E-01
6.071144E+00,-2.151307E-01
6.120625E+00,-2.174567E-01
6.170105E+00,-2.197400E-01
6.219596E+00,-2.219721E-01
6.269109E+00,-2.241526E-01
6.318550E+00,-2.262839E-01
6.368027E+00,-2.283631E-01
6.417528E+00,-2.303856E-01
6.466968E+00,-2.323476E-01
6.516416E+00,-2.342459E-01
6.565857E+00,-2.360790E-01
6.615342E+00,-2.378440E-01
6.664852E+00,-2.395381E-01
6.714300E+00,-2.411616E-01
6.763754E+00,-2.427157E-01
6.813200E+00,-2.441992E-01
6.862695E+00,-2.456089E-01
6.912224E+00,-2.469436E-01
6.961735E+00,-2.482032E-01
7.011252E+00,-2.493900E-01
7.060743E+00,-2.505057E-01
7.110269E+00,-2.515494E-01
7.159745E+00,-2.525160E-01
7.209266E+00,-2.533963E-01
7.258788E+00,-2.541843E-01
7.308295E+00,-2.548742E-01
7.357791E+00,-2.554563E-01
7.407293E+00,-2.559210E-01
7.456769E+00,-2.562599E-01
7.506226E+00,-2.564628E-01
7.555736E+00,-2.565221E-01
7.605198E+00,-2.564372E-01
7.654621E+00,-2.562164E-01
7.704004E+00,-2.558590E-01
7.753386E+00,-2.553584E-01
7.802771E+00,-2.547043E-01
7.852248E+00,-2.538864E-01
7.901619E+00,-2.529046E-01
7.951000E+00,-2.517658E-01
8.000388E+00,-2.504788E-01
