s,P
0.0,0.1125006
0.001,0.11251053341433229
0.002,0.11252120924807774
0.003,0.11253261236133894
0.004,0.1125447276142185
0.005,0.11255753986681909
0.006,0.11257103397924327
0.007,0.11258519481159367
0.008,0.11260000722397291
0.009000000000000001,0.11261545607648359
0.01,0.11263152622922834
0.011,0.11264820254230976
0.012,0.11266546987583045
0.013000000000000001,0.11268331308989304
0.014,0.11270171704460016
0.015,0.11272066660005442
0.016,0.11274014661635842
0.017,0.11276014195361476
0.018000000000000002,0.1127806374719261
0.019,0.11280161803139498
0.02,0.11282306849212409
0.021,0.112844973714216
0.022,0.11286731855777335
0.023,0.11289008788289873
0.024,0.11291326654969475
0.025,0.11293683941826406
0.026000000000000002,0.11296079134870923
0.027,0.11298510720113292
0.028,0.11300977183563769
0.029,0.11303477011232616
0.03,0.113060086891301
0.031,0.1130857070326648
0.032,0.11311161539652013
0.033,0.11313779684296965
0.034,0.11316423623211594
0.035,0.11319091842406165
0.036000000000000004,0.11321782827890939
0.037,0.11324495065676174
0.038,0.11327227041772137
0.039,0.1132997724218908
0.04,0.11332744152937273
0.041,0.11335526260026976
0.042,0.11338322049468448
0.043000000000000003,0.1134113000727195
0.044,0.11343948619447744
0.045,0.11346776372006094
0.046,0.11349611750957259
0.047,0.113524532423115
0.048,0.1135529933207908
0.049,0.1135814850627026
0.05,0.11360999250895297
0.051000000000000004,0.11363850051964461
0.052000000000000005,0.11366699395488006
0.053,0.11369545767476198
0.054,0.11372387653939295
0.055,0.11375223540887557
0.056,0.1137805191433125
0.057,0.11380871260280637
0.058,0.11383680064745973
0.059000000000000004,0.11386476813737521
0.06,0.11389259993265541
0.061,0.11392028089340303
0.062,0.11394779587972059
0.063,0.11397512975171074
0.064,0.1140022673694761
0.065,0.11402919359311925
0.066,0.11405589328274285
0.067,0.11408235129844949
0.068,0.11410855250034178
0.069,0.11413448174852234
0.07,0.11416012390309375
0.07100000000000001,0.11418546382415869
0.07200000000000001,0.11421048637181974
0.073,0.1142351764061795
0.074,0.11425951878734063
0.075,0.11428349837540568
0.076,0.11430710003047728
0.077,0.11433030861265807
0.078,0.11435310898205069
0.079,0.11437548599875767
0.08,0.11439742452288168
0.081,0.1144189094145253
0.082,0.11443992553379119
0.083,0.11446045774078197
0.084,0.1144804908956002
0.085,0.1145000098583485
0.08600000000000001,0.1145189994891295
0.08700000000000001,0.11453744464804584
0.088,0.1145553301952001
0.089,0.11457264099069489
0.09,0.11458936189463284
0.091,0.11460547776711658
0.092,0.11462097346824868
0.093,0.11463583385813177
0.094,0.11465004379686848
0.095,0.11466358814456143
0.096,0.1146764517613132
0.097,0.11468861950722643
0.098,0.11470007624240373
0.099,0.11471080978141768
0.1,0.11472082865253914
0.101,0.11473015024653528
0.10200000000000001,0.11473879198770066
0.10300000000000001,0.11474677130032984
0.10400000000000001,0.11475410560871732
0.105,0.11476081233715771
0.106,0.11476690890994551
0.107,0.11477241275137526
0.108,0.11477734128574155
0.109,0.1147817119373389
0.11,0.11478554213046187
0.111,0.11478884928940498
0.112,0.11479165083846282
0.113,0.11479396420192992
0.114,0.11479580680410081
0.115,0.11479719606927007
0.116,0.11479814942173222
0.117,0.11479868428578183
0.11800000000000001,0.11479881808571342
0.11900000000000001,0.11479856824582156
0.12,0.1147979521904008
0.121,0.11479698734374566
0.122,0.11479569113015071
0.123,0.11479408097391051
0.124,0.11479217429931958
0.125,0.11478998853067247
0.126,0.11478754109226376
0.127,0.11478484940838797
0.128,0.11478193090333964
0.129,0.11477880300141335
0.13,0.11477548312690361
0.131,0.11477198870410499
0.132,0.11476833715731204
0.133,0.11476454591081929
0.134,0.11476063238892129
0.135,0.11475661401591261
0.136,0.11475250821608779
0.137,0.11474833241374136
0.138,0.11474410403316788
0.139,0.11473984049866191
0.14,0.11473555923451798
0.14100000000000001,0.11473127766503063
0.14200000000000002,0.11472701321449442
0.14300000000000002,0.11472278330720391
0.14400000000000002,0.11471860536745362
0.145,0.11471449681953813
0.146,0.11471047508775196
0.147,0.11470655759638966
0.148,0.11470276037776812
0.149,0.11469908627247287
0.15,0.11469553084379876
0.151,0.11469208957881262
0.152,0.11468875796458125
0.153,0.11468553148817145
0.154,0.11468240563665005
0.155,0.11467937589708387
0.156,0.11467643775653967
0.157,0.1146735867020843
0.158,0.11467081822078458
0.159,0.1146681277997073
0.16,0.11466551092591927
0.161,0.11466296308648732
0.162,0.11466047976847822
0.163,0.11465805645895884
0.164,0.11465568864499594
0.165,0.11465337181365635
0.166,0.1146511014520069
0.167,0.11464887304711435
0.168,0.11464668208604556
0.169,0.11464452405586732
0.17,0.11464239444364643
0.171,0.11464028873644973
0.17200000000000001,0.11463820242134401
0.17300000000000001,0.11463613098539609
0.17400000000000002,0.11463406991567275
0.17500000000000002,0.11463201469924085
0.176,0.11462996082316716
0.177,0.11462790377451854
